,Store,Weekly_Sales,Temperature,CPI,Unemployment,Month,Year,Week
0,1,1643690.9,-0.9838821594214219,0.2602714670027524,0.30933443381858544,2,2010,1
1,1,1641957.44,-1.190453941541789,0.2620709801630824,0.30933443381858544,2,2010,2
2,1,1611968.17,-1.1132613282231254,0.26265069200789787,0.30933443381858544,2,2010,3
3,1,1409727.59,-0.7490426597477415,0.26302710342777147,0.30933443381858544,2,2010,4
4,1,1554806.68,-0.7561095891360701,0.26340351484764546,0.30933443381858544,3,2010,1
5,1,1439541.59,-0.14237395225740102,0.26377992626751906,0.30933443381858544,3,2010,2
6,1,1472515.79,-0.3168727471538163,0.2617435046960637,0.30933443381858544,3,2010,3
7,1,1404429.92,-0.48702266242664455,0.25930494367565265,0.30933443381858544,3,2010,4
8,1,1594968.28,0.10116330666345283,0.256866383889377,0.06962845124483871,4,2010,1
9,1,1545418.53,0.29631927977190453,0.2544278241031013,0.06962845124483871,4,2010,2
10,1,1466058.28,0.3213253376075276,0.25277213959750894,0.06962845124483871,4,2010,3
11,1,1391256.12,0.2408710645711747,0.25216028962225123,0.06962845124483871,4,2010,4
12,1,1425100.71,0.38057882247889613,0.25154843964699314,0.06962845124483871,4,2010,5
13,1,1603955.12,0.6599943382943398,0.25093658967173543,0.06962845124483871,5,2010,1
14,1,1494251.5,0.7812193578018185,0.250905214237219,0.06962845124483871,5,2010,2
15,1,1399662.07,0.8714586099912418,0.2543566885154242,0.06962845124483871,5,2010,3
16,1,1432069.95,1.0889025911705754,0.2578081615594936,0.06962845124483871,5,2010,4
17,1,1615524.71,1.1024928399942837,0.26125963460356305,0.06962845124483871,6,2010,1
18,1,1542561.09,1.0883589812176275,0.2647111088817682,0.06962845124483871,6,2010,2
19,1,1503284.06,1.288407443902614,0.26468243743879594,0.06962845124483871,6,2010,3
20,1,1422711.6,1.300910472820426,0.26326170894148865,0.06962845124483871,6,2010,4
21,1,1492418.14,1.114452258959147,0.26184098044418164,0.052736418915816374,7,2010,1
22,1,1546074.18,1.091077030982369,0.26042025194687435,0.052736418915816374,7,2010,2
23,1,1448938.92,1.2362208884195744,0.2603211681198053,0.052736418915816374,7,2010,3
24,1,1385065.2,1.247636697431489,0.26198427595225215,0.052736418915816374,7,2010,4
25,1,1371986.6,1.1650079845833425,0.26364738378469893,0.052736418915816374,7,2010,5
26,1,1605491.78,1.4542084795518557,0.26531049161714537,0.052736418915816374,8,2010,1
27,1,1508237.76,1.4455107203046826,0.26697360068372794,0.052736418915816374,8,2010,2
28,1,1513080.49,1.4264843719514912,0.2665285984642028,0.052736418915816374,8,2010,3
29,1,1449142.92,1.3487481486798791,0.26608359747881305,0.052736418915816374,8,2010,4
30,1,1540163.53,1.130760557547597,0.26563859649342364,0.052736418915816374,9,2010,1
31,1,1507460.69,0.9937708494046169,0.2651935955080339,0.052736418915816374,9,2010,2
32,1,1430378.67,1.1796854533129473,0.2655301369366602,0.052736418915816374,9,2010,3
33,1,1351791.03,1.116083088817992,0.2664528385696722,0.052736418915816374,9,2010,4
34,1,1453329.5,0.62411608139975,0.26737553896854815,0.09375992600058522,10,2010,1
35,1,1508239.93,0.19140255885287608,0.2682982393674241,0.09375992600058522,10,2010,2
36,1,1459409.1,0.368075793561085,0.26912497706867705,0.09375992600058522,10,2010,3
37,1,1345454.0,0.5137632609512381,0.26971180987707494,0.09375992600058522,10,2010,4
38,1,1384209.22,0.5018038419863748,0.2702986426854729,0.09375992600058522,10,2010,5
39,1,1551659.28,-0.09073100672730913,0.2708854754938708,0.09375992600058522,11,2010,1
40,1,1494479.49,-0.04343694082080422,0.27147230830226876,0.09375992600058522,11,2010,2
